name,calories,protein,carbs,fat
Egg fried rice with vegetables, 450,18,50,15
Grilled chicken wrap with ranch, 520,38,35,28
Cottage cheese with pineapple [Nut-free], 280,22,22,10
Pancakes with syrup and bacon, 600,18,80,22
Black bean soup with cornbread, 480,22,60,15
Chicken noodle soup with saltine crackers, 320,18,35,10
Bagel with cream cheese and lox, 480,22,50,22
Frozen chicken pot pie, 620,22,55,35
Vegetable omelette with hash browns, 450,28,30,25
Pork chops with applesauce and mashed potatoes, 580,42,45,28
Cobb salad with ranch dressing, 520,38,12,35
French toast with powdered sugar, 550,18,70,22
Beef stew with crusty bread, 600,40,45,30
Tofu scramble with toast [Vegan], 380,22,35,18
Waffles with butter and syrup, 520,10,80,18
Cheeseburger with onion rings, 780,34,65,45
Clam chowder in bread bowl, 850,24,95,40
Veggie burger with sweet potato fries [Vegan], 520,22,60,22
Pad Thai with shrimp, 720,38,85,25
Corned beef hash with fried eggs, 650,42,35,40
Chicken alfredo pasta, 820,48,75,38
Breakfast burrito with sausage, 580,32,45,35
Lentil curry with basmati rice [Vegan], 520,24,75,12
Fish sticks with tartar sauce, 480,26,40,25
BLT sandwich with mayo, 550,22,35,38
Pulled pork sandwich with coleslaw, 680,42,65,30
Mushroom risotto with parmesan, 580,18,70,22
Chicken quesadilla with sour cream, 620,48,35,35
Beef and barley soup with roll, 520,34,45,22
Avocado chicken salad sandwich, 520,38,35,30
Shrimp fried rice, 580,32,65,22
Baked ziti with garlic bread, 750,36,85,32
Tuna melt on rye bread, 550,38,35,30
Vegetable tempura with rice [Vegan], 580,18,75,22
Egg salad sandwich on wheat, 480,28,35,28
Philly cheesesteak sandwich, 780,48,55,45
Butternut squash soup with croutons, 420,12,55,18
Chicken wings with blue cheese, 680,52,12,48
Beef nachos with cheese sauce, 850,34,65,52
Spinach and ricotta stuffed shells, 620,32,65,28
Grilled vegetable panini, 520,22,60,25
Salisbury steak with gravy and mashed potatoes, 720,52,55,38
Chicken parmesan with spaghetti, 880,62,85,38
Miso soup with vegetable dumplings [Vegan], 420,18,50,12
Reuben sandwich with thousand island, 680,38,55,40
Pasta salad with Italian dressing, 520,18,60,25
Beef bulgogi with white rice, 680,52,75,22
Chicken pot pie, 720,34,65,42
Vegetable lo mein with tofu [Vegan], 580,22,75,18
Meatloaf with mashed potatoes, 680,52,55,35
Chicken fajitas with flour tortillas, 620,58,45,28
Clams linguine in white wine sauce, 720,48,75,32
Falafel pita with tahini sauce [Vegan], 520,22,60,22
Pulled chicken sandwich with bbq sauce, 580,48,55,22
Chicken and waffles with maple syrup, 780,42,85,35
Beef biryani with raita, 720,38,90,28
Vegetable fried rice with egg, 520,22,65,18
Cheese enchiladas with Mexican rice, 680,34,75,32
Tuna pasta salad with peas, 580,38,55,25
Pork tenderloin with roasted vegetables, 620,52,30,35
Avocado toast with poached eggs [Nut-free], 480,22,35,30
Shrimp cocktail with buttered rolls, 550,42,45,25
Lobster roll with chips, 720,38,60,40
Egg drop soup with wonton strips, 380,18,45,12
Chicken pad see ew with broccoli, 680,48,75,22
Beef pho with bean sprouts, 580,42,65,18
Vegetable samosas with chutney [Vegan], 520,12,60,28
Cheese quesadilla with guacamole, 620,28,45,38
Turkey meatballs with spaghetti, 720,52,85,28
Crab cakes with remoulade sauce, 580,42,35,35
Grilled vegetable platter with hummus [Vegan], 480,18,45,28
Pork fried rice with vegetables, 620,38,65,25
Chicken satay with peanut sauce, 680,58,35,38
Mushroom and Swiss burger, 720,42,45,48
Baked beans with cornbread, 580,22,85,18
Clam bake with drawn butter, 850,52,65,48
Vegetable curry with naan bread [Vegan], 680,22,85,28
Cheese fondue with bread cubes, 720,28,60,48
Lamb chops with mint jelly, 680,58,15,48
Chicken tikka masala with basmati rice, 720,52,85,28
Eggplant parmesan with marinara, 580,22,65,32
Pulled chicken sliders with coleslaw, 620,48,55,28
Beef empanadas with chimichurri, 680,38,55,42
Vegetable tempura udon soup [Vegan], 580,18,85,22
Chicken and dumplings, 720,42,65,38
Lobster bisque with oyster crackers, 580,32,45,38
Cheese and mushroom omelette, 520,36,15,38
Pork belly buns with hoisin sauce, 680,38,65,35
Vegetable stir fry with cashews, 520,22,45,32
Beef kabobs with pita bread, 680,58,45,35
Chicken cordon bleu with roasted potatoes, 780,62,55,48
Mushroom and goat cheese tart, 680,22,60,48
Clam strips with french fries, 720,38,75,38
Vegetable lasagna with garlic bread [Vegan], 720,32,85,32
Chicken and sausage gumbo, 780,52,45,48
Beef wellington with roasted carrots, 880,62,55,58
Tofu banh mi sandwich [Vegan], 580,28,65,25
Cheese and charcuterie board, 720,36,15,58
Lamb kebabs with tzatziki sauce, 680,58,25,48
Chicken piccata with angel hair pasta, 720,58,75,32
Vegetable pot pie with puff pastry [Vegan], 680,22,65,42
Pork schnitzel with spaetzle, 780,58,65,42
Crab rangoon with sweet and sour sauce, 580,22,65,32
Egg and cheese breakfast sandwich, 520,32,30,32
Gluten-free pasta with marinara sauce [Vegan][Nut-free][Gluten-free], 420,12,75,8
Rice bowl with black beans and salsa [Vegan][Nut-free][Gluten-free], 480,18,85,10
Baked potato with vegan chili [Vegan][Nut-free][Gluten-free], 520,22,75,12
Quinoa salad with cucumber and lemon [Vegan][Nut-free][Gluten-free], 380,14,55,12
Grilled portobello mushrooms with rice [Vegan][Nut-free][Gluten-free], 350,12,45,15
Stir-fried tofu with rice noodles [Vegan][Nut-free][Gluten-free], 450,28,60,12
Lentil soup with gluten-free bread [Vegan][Nut-free][Gluten-free], 380,22,55,8
Roasted vegetable medley with quinoa [Vegan][Nut-free][Gluten-free], 420,15,65,12
Chickpea curry with basmati rice [Vegan][Nut-free][Gluten-free], 580,28,85,15
Sweet potato and black bean tacos (corn tortillas) [Vegan][Nut-free][Gluten-free], 520,22,75,18
Vegan sushi rolls with tamari [Vegan][Nut-free][Gluten-free], 480,18,85,12
Mashed cauliflower with vegan gravy [Vegan][Nut-free][Gluten-free], 320,12,35,15
Zucchini noodles with pesto (nut-free) [Vegan][Nut-free][Gluten-free], 380,15,35,22
Sunflower seed butter sandwich (GF bread) [Vegan][Nut-free][Gluten-free], 450,18,55,22
Rice paper veggie rolls with peanut-free sauce [Vegan][Nut-free][Gluten-free], 350,12,60,8
Baked falafel with tahini (GF pita) [Vegan][Nut-free][Gluten-free], 580,28,75,22
Coconut milk curry with vegetables [Vegan][Nut-free][Gluten-free], 520,18,65,28
Roasted beet and quinoa salad [Vegan][Nut-free][Gluten-free], 420,16,60,15
Vegan chili with cornbread (GF) [Vegan][Nut-free][Gluten-free], 580,28,85,18
Stuffed bell peppers with lentils [Vegan][Nut-free][Gluten-free], 450,22,65,12
Polenta with mushroom ragout [Vegan][Nut-free][Gluten-free], 520,18,65,22
Veggie stir-fry with tamari (GF) [Vegan][Nut-free][Gluten-free], 480,22,65,15
Butternut squash risotto (GF) [Vegan][Nut-free][Gluten-free], 550,12,85,18
Chia pudding with coconut milk [Vegan][Nut-free][Gluten-free], 380,12,45,22
Vegan lentil loaf with mashed potatoes [Vegan][Nut-free][Gluten-free], 580,32,75,18
